ID,data_field,Data Set,data_structure,Data Type,Length
11067,ACCOUNT_HOLDER_INDICATOR,SCI_EQFX 2015-03-18,SI_EQFX_SCV_IDSP,,0
10933,ACCOUNT_HOLDER_INDICATOR,SCI_EQFX 2015-03-18,SI_EQFX_SCV_ACCT,,0
11022,ACCOUNT_HOLDER_INDICATOR,SCI_EQFX 2015-03-18,SI_EQFX_SCV_EXPT,,0
10977,ACCOUNT_HOLDER_INDICATOR,SCI_EQFX 2015-03-18,SI_EQFX_SCV_EXCL,,0
13452,ACCOUNT_LOC,SCI_PBDW 2015-09-10,SI_PBDW_BI_SCV_MERGE,,0
10786,ACCOUNT_MANAGER,SCI_CLML 2015-03-18,SI_CLML_INSTITUTIONS,,0
19532,ACCOUNT_MANAGER,SCI_TRML 2015-07-10 V3,SI_CLML_INSTITUTIONS,,0
13068,Account_No,SCI_MANU 2016-04-11,SI_MANU_CLEARSTREAM,,0
10871,ACCOUNT_NO,SCI_DGSC 2015-03-18,SI_DGSC_ACCOUNT,,0
13165,Account_No,SCI_MANU 2016-04-11,SI_MANU_EUROCLEAR,,0
11068,ACCOUNT_NUMBER,SCI_EQFX 2015-03-18,SI_EQFX_SCV_IDSP,,0
11023,ACCOUNT_NUMBER,SCI_EQFX 2015-03-18,SI_EQFX_SCV_EXPT,,0
10934,ACCOUNT_NUMBER,SCI_EQFX 2015-03-18,SI_EQFX_SCV_ACCT,,0
13079,ACCOUNT_NUMBER,SCI_MANU 2016-04-11,SI_MANU_COMPANY_REG_NUMBER,,0
10978,ACCOUNT_NUMBER,SCI_EQFX 2015-03-18,SI_EQFX_SCV_EXCL,,0
11188,ACCOUNT_NUMBER,SCI_FMLY_2015-06-12,SI_FMLY_PO_ISA_TRANSACTION,,0
11111,ACCOUNT_NUMBER,SCI_FMLY_2015-06-12,SI_FMLY_ACC_INT,,0
11122,ACCOUNT_NUMBER,SCI_FMLY_2015-06-12,SI_FMLY_PO_ISA_ACCOUNT,,0
13453,ACCOUNT_NUMBER,SCI_PBDW 2015-09-10,SI_PBDW_BI_SCV_MERGE,,0
11069,ACCOUNT_STATUS_CODE,SCI_EQFX 2015-03-18,SI_EQFX_SCV_IDSP,,0
10935,ACCOUNT_STATUS_CODE,SCI_EQFX 2015-03-18,SI_EQFX_SCV_ACCT,,0
11024,ACCOUNT_STATUS_CODE,SCI_EQFX 2015-03-18,SI_EQFX_SCV_EXPT,,0
10979,ACCOUNT_STATUS_CODE,SCI_EQFX 2015-03-18,SI_EQFX_SCV_EXCL,,0
10980,ACCOUNT_TITLE,SCI_EQFX 2015-03-18,SI_EQFX_SCV_EXCL,,0
10936,ACCOUNT_TITLE,SCI_EQFX 2015-03-18,SI_EQFX_SCV_ACCT,,0
11025,ACCOUNT_TITLE,SCI_EQFX 2015-03-18,SI_EQFX_SCV_EXPT,,0
11070,ACCOUNT_TITLE,SCI_EQFX 2015-03-18,SI_EQFX_SCV_IDSP,,0
10637,ACCOUNTING_CLASSIFICATION,SCI_CLML 2015-03-18,SI_CLML_CUSTOMER_CLASS,,0
19434,ACCOUNTING_CLASSIFICATION,SCI_TRML 2015-07-10 V3,SI_CLML_CUSTOMER_CLASS,,0
13930,ACCOUNTING_TYPE,SCI_STML 2015-09-16,SI_STML_PROFIT_CENTRES,,0
17666,Accrued Bonus Interest Amount,CAL170830 Logical Name,Account Liquidity Deposit Daily Fact,DECIMAL,23
19874,Accrued Bonus Interest Amount,Access Layer,Account Liquidity Deposit Daily Fact,DECIMAL,23
13454,ACCRUED_INT_EURO,SCI_PBDW 2015-09-10,SI_PBDW_BI_SCV_MERGE,,0
13455,ACCRUED_INT_ORIG_CURR,SCI_PBDW 2015-09-10,SI_PBDW_BI_SCV_MERGE,,0
10872,ACCRUED_INTEREST_EURO,SCI_DGSC 2015-03-18,SI_DGSC_ACCOUNT,,0
10873,ACCRUED_INTEREST_ORIGINAL_CUR,SCI_DGSC 2015-03-18,SI_DGSC_ACCOUNT,,0
13178,Acid,SCI_MANU 2016-04-11,SI_MANU_EXPER_TOP_TRNOVR,,0
15605,ACNT_CCY_EV_AMT,IDL20170908,AGMT_X_NON_FIN_AGMT_EV,DECIMAL,23
28152,ACNT_CCY_EV_AMT,IDL20180116,AGMT_X_NON_FIN_AGMT_EV,DECIMAL,23
15088,ACNT_CCY_ID,IDL20170908,ACNT_LQDY_CSH_FLW,INTEGER,0
27649,ACNT_CCY_ID,IDL20180116,ACNT_LQDY_CSH_FLW,INTEGER,0
13248,ACRES_DISADVANTAGD,SCI_OSVC 2015-09-16,SI_OSVC_ORGANISATION,,0
13249,ACRES_DISADVN_VDTE,SCI_OSVC 2015-09-16,SI_OSVC_ORGANISATION,,0
13250,ACRES_ELG_AID_VDTE,SCI_OSVC 2015-09-16,SI_OSVC_ORGANISATION,,0
13251,ACRES_ELIGIBLE_AID,SCI_OSVC 2015-09-16,SI_OSVC_ORGANISATION,,0
13252,ACRES_FARMED,SCI_OSVC 2015-09-16,SI_OSVC_ORGANISATION,,0
13253,ACRES_FARMED_VDTE,SCI_OSVC 2015-09-16,SI_OSVC_ORGANISATION,,0
13254,ACRES_OWNED,SCI_OSVC 2015-09-16,SI_OSVC_ORGANISATION,,0
13255,ACRES_OWNED_VDTE,SCI_OSVC 2015-09-16,SI_OSVC_ORGANISATION,,0
13256,ACRES_RENTED,SCI_OSVC 2015-09-16,SI_OSVC_ORGANISATION,,0
13257,ACRES_RENTED_VDTE,SCI_OSVC 2015-09-16,SI_OSVC_ORGANISATION,,0
15121,ACS_FAC_ID,IDL20170908,ACS_FAC,INTEGER,0
16859,ACS_FAC_ID,IDL20170908,PRTY_X_ACS_FAC,INTEGER,0
15461,ACS_FAC_ID,IDL20170908,AGMT_X_ACS_FAC,INTEGER,0
27635,ACS_FAC_ID,IDL20180116,ACS_FAC,INTEGER,0
28008,ACS_FAC_ID,IDL20180116,AGMT_X_ACS_FAC,INTEGER,0
29191,ACS_FAC_ID,IDL20180116,PRTY_X_ACS_FAC,INTEGER,0
15122,ACS_FAC_INTER_IND,IDL20170908,ACS_FAC,CHAR,3
27636,ACS_FAC_INTER_IND,IDL20180116,ACS_FAC,CHAR,3
15123,ACS_FAC_SBTYP_CD,IDL20170908,ACS_FAC,VARCHAR,50
27637,ACS_FAC_SBTYP_CD,IDL20180116,ACS_FAC,VARCHAR,50
15124,ACS_FAC_TYP_CD,IDL20170908,ACS_FAC,VARCHAR,30
27638,ACS_FAC_TYP_CD,IDL20180116,ACS_FAC,VARCHAR,30
3928,ACSLEVEL,SCI_ALNI 2015-09-21,SI_ALNI_PEDT001,,0
5147,ACSLEVEL,SCI_ALPO 2015-09-21,SI_ALPO_PEDT001,,0
6018,ACSLEVEL,SCI_ALUK 2015-09-21,SI_ALUK_PEDT001,,0
13179,Act_Turn,SCI_MANU 2016-04-11,SI_MANU_EXPER_TOP_TRNOVR,,0
19578,ACTIVE_FLAG,SCI_TRML 2015-07-10 V3,SI_CLML_SOURCE_XREFS,,0
10856,ACTIVE_FLAG,SCI_CLML 2015-03-18,SI_CLML_SOURCE_XREFS,,0
10660,ACTIVE_STATUS,SCI_CLML 2015-03-18,SI_CLML_CUSTOMERS,,0
19449,ACTIVE_STATUS,SCI_TRML 2015-07-10 V3,SI_CLML_CUSTOMERS,,0
18140,Activity Status Code,CAL170830 Logical Name,Activity Status Refdimension,VARCHAR,50
19944,Activity Status Code,Access Layer,Activity Status Refdimension,VARCHAR,50
18143,Activity Status Description,CAL170830 Logical Name,Activity Status Refdimension,VARCHAR,250
19945,Activity Status Description,Access Layer,Activity Status Refdimension,VARCHAR,250
18141,Activity Status Identifier,CAL170830 Logical Name,Activity Status Refdimension,INTEGER,0
17325,Activity Status Identifier,CAL170830 Logical Name,Customer Dimension,INTEGER,0
20729,Activity Status Identifier,Access Layer,Customer Dimension,INTEGER,0
19946,Activity Status Identifier,Access Layer,Activity Status Refdimension,INTEGER,0
18142,Activity Status Label,CAL170830 Logical Name,Activity Status Refdimension,VARCHAR,100
19947,Activity Status Label,Access Layer,Activity Status Refdimension,VARCHAR,100
10661,ACTIVITY_LEVEL,SCI_CLML 2015-03-18,SI_CLML_CUSTOMERS,,0
19450,ACTIVITY_LEVEL,SCI_TRML 2015-07-10 V3,SI_CLML_CUSTOMERS,,0
13900,ACTUAL_DATE,SCI_STML 2015-09-16,SI_STML_LIVE_RATES,,0
14110,ADACCN,SCI_TRBK 2015-09-16,SI_TRBK_IVAADR,,0
14111,ADADD1,SCI_TRBK 2015-09-16,SI_TRBK_IVAADR,,0
14112,ADADD2,SCI_TRBK 2015-09-16,SI_TRBK_IVAADR,,0
14113,ADADD3,SCI_TRBK 2015-09-16,SI_TRBK_IVAADR,,0
14114,ADADD4,SCI_TRBK 2015-09-16,SI_TRBK_IVAADR,,0
14115,ADADDN,SCI_TRBK 2015-09-16,SI_TRBK_IVAADR,,0
14116,ADADDT,SCI_TRBK 2015-09-16,SI_TRBK_IVAADR,,0
14487,ADADR1,SCI_TRBK 2015-09-16,SI_TRBK_SHRADD,,0
14488,ADADR2,SCI_TRBK 2015-09-16,SI_TRBK_SHRADD,,0
14489,ADADR3,SCI_TRBK 2015-09-16,SI_TRBK_SHRADD,,0
14490,ADADR4,SCI_TRBK 2015-09-16,SI_TRBK_SHRADD,,0
14117,ADCDOB,SCI_TRBK 2015-09-16,SI_TRBK_IVAADR,,0
